"s0q_B" "s0q_V" "s0q_M" "s0q_SE" "s1q_B" "s1q_V" "s1q_M" "s1q_SE" "lq_B" "lq_V" "lq_M" "lq_SE" "cb_B" "cb_V" "cb_M" "cb_SE" "Qntl" "SS" "Scenario"
0.00953655680588906 0.157607691689306 0.157817268417825 0.0211063968819752 0.0157802247789828 0.171021537893929 0.171662848488705 0.0241505468350545 1.81006119386564 1.17299702987433 2.15658703408887 0.0472269612165477 0.0050041089780372 0.144759700290107 0.144773811733744 0.0241360277183315 90 "300" "Positive"
0.0100727241601918 0.186779116133018 0.186957245265369 0.0239581123111037 0.0173643981057101 0.202914792395205 0.203555301776667 0.0275241497728424 2.44340329806167 1.50282521068769 2.86817795947937 0.0584737068988096 0.00789414781437887 0.185829723840702 0.185904467795059 0.0263036273405086 95 "300" "Positive"
0.00714350768496078 0.0776237546963638 0.0779131025432385 0.0111539585537725 0.0210755888715319 0.0784940622953254 0.0812363031168248 0.0112832031762771 1.93444212372163 1.47886509837169 2.43452690829889 0.0798671988592693 0.00256103675621148 0.0612548686663492 0.0612777748099833 0.00976219083300782 5 "500" "Positive"
0.0043267106248832 0.0738958487784075 0.0739855140892193 0.0142009845981848 0.00617760463804501 0.0746945599101409 0.0749123541343713 0.0140956904389668 0.179322603760784 0.0859075059506683 0.198819807108428 0.00664137549077172 0.00170193139495685 0.0588943260016502 0.0588894698908608 0.0166891202565371 50 "500" "Positive"
0.00563950157473217 0.130684522330465 0.130740850197544 0.0195810372213108 0.0106186099092418 0.132526975442149 0.132885630137456 0.0193549030054335 1.83036325483366 1.15340792413239 2.16315721441073 0.0445058413292319 0.00381786947690218 0.111245762405413 0.111255652264733 0.0188644935277409 90 "500" "Positive"
0.00636117227374765 0.15452180825076 0.154575472661596 0.022316914517218 0.0119357762695312 0.156822979045348 0.157198333531426 0.0220540152257251 2.46811280726874 1.47878057300396 2.87683611290508 0.0549771597364556 0.0056283694820302 0.143063441630911 0.143102619563641 0.0203528166646247 95 "500" "Positive"
0.0208631704966838 0.254289781135417 0.255017453089553 0.0450418682632133 0.0774161206724468 0.283299348623889 0.293549856327268 0.058400490008023 2.13103016690778 1.61735478481963 2.67479162473453 0.0810249590730123 0.0197185058531411 0.255221917264668 0.255855248721383 0.0424021697495337 5 "100" "No"
0.02531258975327 0.175886502549948 0.177611522479515 0.0342044105322992 0.00986182015458994 0.194735208970473 0.194887493975171 0.0433114235135985 0.00534535395851483 0.277967042612881 0.277879441325036 0.103336609885488 0.00377092752241459 0.145617449662443 0.145593465165602 0.0400745036146608 50 "100" "No"
0.04084032070127 0.222686395888489 0.226290904540756 0.0323460055053805 0.0464080400766489 0.24697322481177 0.251174210825688 0.0427999329484343 1.6608415227071 1.27358560499245 2.0925565312552 0.0659634643130787 0.0103974459749143 0.203849113610885 0.204012287722148 0.0369925978523409 90 "100" "No"
0.0463097082195323 0.254477575098791 0.258531751371685 0.043699505080876 0.05267271070671 0.2836506653256 0.288360289729547 0.051809912802901 2.13158416454529 1.61902184333461 2.67624018877336 0.0814195834683701 0.0197145314289508 0.254644972756687 0.2552800047743 0.0403127277585759 95 "100" "No"
0.0112988953389781 0.148183796554354 0.148540042276762 0.0200755565489302 0.0245797757606206 0.148788315807852 0.150731517389226 0.0201840046422136 2.18167972773076 1.54641732709612 2.67371306938215 0.0664892217597492 0.00684623462327006 0.13450071905782 0.134607666617324 0.0197907124482115 5 "300" "No"
0.00364402451713312 0.102449911835749 0.10246349284208 0.0197659776979783 0.0032253101025403 0.102835272841135 0.102834434272903 0.0199756965802382 0.00331614165333295 0.112348232129783 0.112340998450654 0.0173325115825204 0.00202464087561736 0.0766996323400169 0.07668800387393 0.0201933653488057 50 "300" "No"
0.0101716799983594 0.132005531945363 0.132331017065929 0.017999208658239 0.0187969012648153 0.132684731518645 0.133943854795044 0.0180139762968119 1.6997540145358 1.2069375339345 2.08432368468518 0.0519773491024092 0.00417833816443203 0.108027453524157 0.108054242369355 0.0186177562580656 90 "300" "No"
0.0125630533717002 0.148063637075121 0.148521877490521 0.0192065723526658 0.0237107181187137 0.148874744005254 0.15067754931287 0.0192561644685916 2.18161780497626 1.54644421202407 2.67367807676827 0.0663875231355974 0.00629266486974452 0.134453582573177 0.134533585888648 0.0194602259805582 95 "300" "No"
0.0061488929593836 0.113576088994031 0.113685695440609 0.0159327938160204 0.0152488940246659 0.113751043231159 0.114712202076834 0.0159788544708077 2.2244631546126 1.50465002202293 2.68513389671984 0.0625531748103706 0.00408951964048605 0.103505689320647 0.103534721059703 0.0150071387004445 5 "500" "No"
0.00217120211226056 0.0793910333844617 0.0793810264753684 0.0153372167292705 0.00199596214768521 0.0794084443860256 0.0793938234604161 0.0153491639002414 0.0026562786244618 0.0861665814861562 0.0861644410495197 0.0128211691592583 0.001603427010876 0.0595457934832901 0.0595376082674832 0.0168929849279896 50 "500" "No"
0.00543446568071779 0.101542277901646 0.101636886928362 0.0147030995929202 0.0116805564244786 0.10150618780799 0.102125599413335 0.014632999906482 1.73341901700659 1.17333282558626 2.09286279965953 0.0492311454232598 0.002967561754719 0.082973232392389 0.082984812822081 0.0145731085384052 90 "500" "No"
0.00667659505565304 0.113613761235746 0.113753046451197 0.015691572613871 0.0146720100415462 0.113587460277056 0.114474787179181 0.0156496925683879 2.22477412171607 1.50439581483171 2.68524923490781 0.0629269813080542 0.00429713106681036 0.103505110881648 0.103542551668621 0.0151167548118704 95 "500" "No"
